scenario,run,week,store_id,model_id,demand_units,sold_units,stockout_units,ending_inventory_units,revenue
normal,1,1,ST001,MD001,1,0,1,0,0.0
normal,1,1,ST001,MD002,1,0,1,0,0.0
normal,1,1,ST001,MD003,0,0,0,0,0.0
normal,1,1,ST001,MD004,0,0,0,0,0.0
normal,1,1,ST001,MD005,0,0,0,0,0.0
normal,1,1,ST001,MD006,0,0,0,0,0.0
normal,1,1,ST001,MD007,0,0,0,0,0.0
normal,1,1,ST001,MD008,0,0,0,0,0.0
normal,1,1,ST001,MD009,0,0,0,0,0.0
normal,1,1,ST001,MD010,12,10,2,0,98000.0
normal,1,1,ST001,MD011,0,0,0,0,0.0
normal,1,1,ST001,MD012,5,3,2,0,27300.0
normal,1,1,ST001,MD013,0,0,0,0,0.0
normal,1,1,ST001,MD014,0,0,0,0,0.0
normal,1,1,ST001,MD015,0,0,0,0,0.0
normal,1,1,ST001,MD016,1,1,0,0,23300.0
normal,1,1,ST001,MD017,0,0,0,0,0.0
normal,1,1,ST001,MD018,0,0,0,0,0.0
normal,1,1,ST001,MD019,1,0,1,0,0.0
normal,1,1,ST001,MD020,1,1,0,0,19500.0
normal,1,1,ST001,MD021,2,1,1,0,25200.0
normal,1,1,ST001,MD022,0,0,0,0,0.0
normal,1,1,ST001,MD023,0,0,0,0,0.0
normal,1,1,ST001,MD024,0,0,0,0,0.0
normal,1,1,ST001,MD025,0,0,0,0,0.0
normal,1,1,ST001,MD026,0,0,0,0,0.0
normal,1,1,ST001,MD027,2,2,0,0,92600.0
normal,1,1,ST001,MD028,0,0,0,0,0.0
normal,1,1,ST001,MD029,0,0,0,0,0.0
normal,1,1,ST001,MD030,0,0,0,0,0.0
normal,1,1,ST001,MD031,0,0,0,0,0.0
normal,1,1,ST001,MD032,0,0,0,0,0.0
normal,1,1,ST001,MD033,0,0,0,0,0.0
normal,1,1,ST001,MD034,0,0,0,0,0.0
normal,1,1,ST001,MD035,2,1,1,0,32400.0
normal,1,1,ST001,MD036,0,0,0,0,0.0
normal,1,1,ST001,MD037,1,0,1,0,0.0
normal,1,1,ST001,MD038,4,4,0,0,159600.0
normal,1,1,ST001,MD039,1,1,0,0,51000.0
normal,1,1,ST001,MD040,0,0,0,0,0.0
normal,1,1,ST001,MD041,0,0,0,0,0.0
normal,1,1,ST001,MD042,0,0,0,0,0.0
normal,1,1,ST001,MD043,0,0,0,0,0.0
normal,1,1,ST001,MD044,1,0,1,0,0.0
normal,1,1,ST001,MD045,0,0,0,0,0.0
normal,1,1,ST001,MD046,0,0,0,0,0.0
normal,1,1,ST001,MD047,0,0,0,0,0.0
normal,1,1,ST001,MD048,0,0,0,0,0.0
normal,1,1,ST001,MD049,1,0,1,0,0.0
normal,1,1,ST001,MD050,1,0,1,0,0.0
normal,1,1,ST001,MD051,0,0,0,0,0.0
normal,1,1,ST001,MD052,6,4,2,0,384000.0
normal,1,1,ST001,MD053,0,0,0,0,0.0
normal,1,1,ST001,MD054,0,0,0,0,0.0
normal,1,1,ST001,MD055,1,1,0,0,75000.0
normal,1,1,ST001,MD056,0,0,0,0,0.0
normal,1,1,ST001,MD057,0,0,0,0,0.0
normal,1,1,ST001,MD058,1,0,1,0,0.0
normal,1,1,ST001,MD059,0,0,0,0,0.0
normal,1,1,ST001,MD060,0,0,0,0,0.0
normal,1,1,ST002,MD001,0,0,0,0,0.0
normal,1,1,ST002,MD002,1,1,0,0,7900.0
normal,1,1,ST002,MD003,1,0,1,0,0.0
normal,1,1,ST002,MD004,0,0,0,0,0.0
normal,1,1,ST002,MD005,0,0,0,0,0.0
normal,1,1,ST002,MD006,0,0,0,0,0.0
normal,1,1,ST002,MD007,0,0,0,0,0.0
normal,1,1,ST002,MD008,0,0,0,0,0.0
normal,1,1,ST002,MD009,0,0,0,0,0.0
normal,1,1,ST002,MD010,8,6,2,0,58800.0
normal,1,1,ST002,MD011,0,0,0,0,0.0
normal,1,1,ST002,MD012,5,4,1,0,36400.0
normal,1,1,ST002,MD013,0,0,0,0,0.0
normal,1,1,ST002,MD014,0,0,0,0,0.0
normal,1,1,ST002,MD015,0,0,0,0,0.0
normal,1,1,ST002,MD016,1,1,0,0,23300.0
normal,1,1,ST002,MD017,0,0,0,0,0.0
normal,1,1,ST002,MD018,0,0,0,0,0.0
normal,1,1,ST002,MD019,1,1,0,0,25600.0
normal,1,1,ST002,MD020,0,0,0,0,0.0
normal,1,1,ST002,MD021,4,2,2,0,50400.0
normal,1,1,ST002,MD022,0,0,0,0,0.0
normal,1,1,ST002,MD023,0,0,0,0,0.0
normal,1,1,ST002,MD024,0,0,0,0,0.0
normal,1,1,ST002,MD025,0,0,0,0,0.0
normal,1,1,ST002,MD026,0,0,0,0,0.0
normal,1,1,ST002,MD027,1,0,1,0,0.0
normal,1,1,ST002,MD028,0,0,0,0,0.0
normal,1,1,ST002,MD029,0,0,0,0,0.0
normal,1,1,ST002,MD030,2,1,1,0,27200.0
normal,1,1,ST002,MD031,0,0,0,0,0.0
normal,1,1,ST002,MD032,0,0,0,0,0.0
normal,1,1,ST002,MD033,0,0,0,0,0.0
normal,1,1,ST002,MD034,0,0,0,0,0.0
normal,1,1,ST002,MD035,1,0,1,0,0.0
normal,1,1,ST002,MD036,0,0,0,0,0.0
normal,1,1,ST002,MD037,0,0,0,0,0.0
normal,1,1,ST002,MD038,3,3,0,0,119700.0
