store_id,model_id,forecast_units,forecast_week,method,product_launched
ST001,MD001,0.75,53,4_week_rolling_average,True
ST001,MD002,0.75,53,4_week_rolling_average,True
ST001,MD003,0.0,53,4_week_rolling_average,True
ST001,MD004,0.0,53,4_week_rolling_average,False
ST001,MD005,0.0,53,4_week_rolling_average,True
ST001,MD006,0.25,53,4_week_rolling_average,True
ST001,MD007,0.25,53,4_week_rolling_average,True
ST001,MD008,0.0,53,4_week_rolling_average,True
ST001,MD009,0.0,53,4_week_rolling_average,True
ST001,MD010,14.75,53,4_week_rolling_average,True
ST001,MD011,0.25,53,4_week_rolling_average,True
ST001,MD012,4.0,53,4_week_rolling_average,True
ST001,MD013,0.0,53,4_week_rolling_average,False
ST001,MD014,0.0,53,4_week_rolling_average,True
ST001,MD015,0.0,53,4_week_rolling_average,True
ST001,MD016,1.25,53,4_week_rolling_average,True
ST001,MD017,0.25,53,4_week_rolling_average,True
ST001,MD018,0.0,53,4_week_rolling_average,True
ST001,MD019,0.75,53,4_week_rolling_average,True
ST001,MD020,1.0,53,4_week_rolling_average,True
ST001,MD021,1.75,53,4_week_rolling_average,True
ST001,MD022,0.0,53,4_week_rolling_average,False
ST001,MD023,0.25,53,4_week_rolling_average,True
ST001,MD024,0.0,53,4_week_rolling_average,True
ST001,MD025,0.0,53,4_week_rolling_average,True
ST001,MD026,0.0,53,4_week_rolling_average,True
ST001,MD027,2.0,53,4_week_rolling_average,True
ST001,MD028,0.0,53,4_week_rolling_average,False
ST001,MD029,0.0,53,4_week_rolling_average,True
ST001,MD030,0.25,53,4_week_rolling_average,True
ST001,MD031,0.0,53,4_week_rolling_average,True
ST001,MD032,0.25,53,4_week_rolling_average,True
ST001,MD033,0.0,53,4_week_rolling_average,True
ST001,MD034,0.0,53,4_week_rolling_average,True
ST001,MD035,1.5,53,4_week_rolling_average,True
ST001,MD036,0.0,53,4_week_rolling_average,False
ST001,MD037,0.75,53,4_week_rolling_average,True
ST001,MD038,5.0,53,4_week_rolling_average,True
ST001,MD039,1.0,53,4_week_rolling_average,True
ST001,MD040,0.0,53,4_week_rolling_average,True
ST001,MD041,0.0,53,4_week_rolling_average,True
ST001,MD042,0.0,53,4_week_rolling_average,True
ST001,MD043,0.25,53,4_week_rolling_average,True
ST001,MD044,0.75,53,4_week_rolling_average,True
ST001,MD045,0.0,53,4_week_rolling_average,True
ST001,MD046,0.25,53,4_week_rolling_average,True
ST001,MD047,0.0,53,4_week_rolling_average,False
ST001,MD048,0.25,53,4_week_rolling_average,True
ST001,MD049,0.5,53,4_week_rolling_average,True
ST001,MD050,0.5,53,4_week_rolling_average,True
ST001,MD051,0.25,53,4_week_rolling_average,True
ST001,MD052,5.25,53,4_week_rolling_average,True
ST001,MD053,0.0,53,4_week_rolling_average,False
ST001,MD054,0.0,53,4_week_rolling_average,True
ST001,MD055,1.0,53,4_week_rolling_average,True
ST001,MD056,0.0,53,4_week_rolling_average,True
ST001,MD057,0.25,53,4_week_rolling_average,True
ST001,MD058,0.75,53,4_week_rolling_average,True
ST001,MD059,0.0,53,4_week_rolling_average,True
ST001,MD060,0.0,53,4_week_rolling_average,True
ST002,MD001,0.25,53,4_week_rolling_average,True
ST002,MD002,1.25,53,4_week_rolling_average,True
ST002,MD003,0.75,53,4_week_rolling_average,True
ST002,MD004,0.0,53,4_week_rolling_average,False
ST002,MD005,0.0,53,4_week_rolling_average,True
ST002,MD006,0.0,53,4_week_rolling_average,True
ST002,MD007,0.25,53,4_week_rolling_average,True
ST002,MD008,0.0,53,4_week_rolling_average,True
ST002,MD009,0.0,53,4_week_rolling_average,True
ST002,MD010,8.75,53,4_week_rolling_average,True
ST002,MD011,0.0,53,4_week_rolling_average,True
ST002,MD012,6.25,53,4_week_rolling_average,True
ST002,MD013,0.0,53,4_week_rolling_average,False
ST002,MD014,0.0,53,4_week_rolling_average,True
ST002,MD015,0.0,53,4_week_rolling_average,True
ST002,MD016,1.25,53,4_week_rolling_average,True
