model_id,model_name,category,price,launch_week,successor_model_id,successor_launched,recent_6w_avg_units,prior_6w_avg_units,recent_vs_prior_pct,latest_week_units,recent_nonzero_weeks,six_week_slope,eol_score,lifecycle_status,recommended_action
MD011,Halex Max,Entry,12100.0,-10,MD012,True,2.6666666666666665,8.333333333333334,-68.0,2.0,6,-0.3428571428571435,0.7833333333333333,EOL_RECOMMEND,Stop replenishment; transition to successor
MD049,Zentro Nova,Premium,70500.0,1,MD050,True,3.1666666666666665,12.333333333333334,-74.32432432432432,1.0,6,-0.3714285714285677,0.7708333333333333,EOL_RECOMMEND,Stop replenishment; transition to successor
MD051,Kryon Orbit,Premium,82400.0,-10,MD052,True,1.6666666666666667,3.0,-44.44444444444444,3.0,6,0.285714285714285,0.7694444444444444,EOL_RECOMMEND,Stop replenishment; transition to successor
MD018,Corvo Pixel,Budget,15900.0,-30,MD019,True,3.3333333333333335,7.5,-55.55555555555556,3.0,6,-0.05714285714285756,0.7666666666666666,EOL_RECOMMEND,Stop replenishment; transition to successor
MD026,Halex Ace,Mid-range,31900.0,-10,MD027,True,1.1666666666666667,2.0,-41.666666666666664,0.0,3,0.08571428571428384,0.7625,EOL_RECOMMEND,Stop replenishment; transition to successor
MD040,Orbil Vibe,Upper-mid,60000.0,-40,,False,0.0,0.3333333333333333,-100.0,0.0,0,0.0,0.75,EOL_RECOMMEND,Stop replenishment; review residual stock
MD059,Vantix Arc,Flagship,128600.0,-40,,False,0.0,0.6666666666666666,-100.0,0.0,0,0.0,0.75,EOL_RECOMMEND,Stop replenishment; review residual stock
MD025,Orbil Neo,Budget,16000.0,-52,,False,0.16666666666666666,0.3333333333333333,-50.0,0.0,1,-0.02857142857142806,0.7458333333333333,EOL_RECOMMEND,Stop replenishment; review residual stock
MD009,Orbil Ember,Entry,11500.0,1,MD010,True,4.666666666666667,13.833333333333334,-66.26506024096386,6.0,6,-0.22857142857143112,0.7333333333333333,EOL_RECOMMEND,Stop replenishment; transition to successor
MD057,Nubira Pulse,Flagship,119700.0,-4,MD058,True,2.6666666666666665,4.0,-33.333333333333336,8.0,5,0.7999999999999977,0.6666666666666667,WATCH,Monitor demand; reduce replenishment if decline persists
MD015,Nubira Fuse,Budget,16700.0,1,MD016,True,8.166666666666666,24.0,-65.97222222222223,5.0,6,-1.2857142857142831,0.6458333333333333,WATCH,Monitor demand; reduce replenishment if decline persists
MD029,Ferno Prime,Mid-range,31600.0,-40,MD030,True,0.3333333333333333,0.16666666666666666,100.0,0.0,1,-0.17142857142857001,0.6416666666666666,WATCH,Monitor demand; reduce replenishment if decline persists
MD034,Corvo Drift,Mid-range,44100.0,-30,MD035,True,1.1666666666666667,1.5,-22.22222222222222,0.0,5,-0.3714285714285702,0.6263888888888889,WATCH,Monitor demand; reduce replenishment if decline persists
MD033,Vantix Bolt,Mid-range,36100.0,-52,,False,0.3333333333333333,0.6666666666666666,-50.0,1.0,2,0.1142857142857143,0.5916666666666667,WATCH,Monitor demand; reduce replenishment if decline persists
MD008,Kryon Loop,Entry,8500.0,-40,,False,0.3333333333333333,0.8333333333333334,-60.00000000000001,1.0,2,-6.248625235219597e-16,0.5916666666666667,WATCH,Monitor demand; reduce replenishment if decline persists
MD037,Zentro Volt,Mid-range,35400.0,6,MD038,True,11.666666666666666,20.166666666666668,-42.14876033057852,10.0,6,-2.8571428571428483,0.5450413223140496,WATCH,Monitor demand; reduce replenishment if decline persists
MD020,Zentro Wave,Budget,19500.0,-4,MD021,True,6.166666666666667,8.5,-27.450980392156854,5.0,6,0.5428571428571414,0.5379901960784312,WATCH,Monitor demand; reduce replenishment if decline persists
MD043,Nubira Edge,Upper-mid,59500.0,-4,MD044,True,6.333333333333333,8.5,-25.49019607843137,5.0,6,0.4571428571428603,0.5200980392156862,WATCH,Monitor demand; reduce replenishment if decline persists
MD031,Nubira Spark,Mid-range,38400.0,-52,MD032,True,0.6666666666666666,0.3333333333333333,100.0,0.0,3,-0.28571428571428453,0.48333333333333334,WATCH,Monitor demand; reduce replenishment if decline persists
MD006,Zentro Arc,Entry,13100.0,1,MD007,True,24.833333333333332,36.666666666666664,-32.27272727272727,15.0,6,-2.8857142857142697,0.47590909090909095,WATCH,Monitor demand; reduce replenishment if decline persists
MD048,Corvo Peak,Upper-mid,59900.0,12,,False,5.0,11.833333333333334,-57.74647887323944,2.0,6,-0.6285714285714274,0.475,WATCH,Monitor demand; reduce replenishment if decline persists
MD023,Kryon Core,Budget,21300.0,-30,MD024,True,1.0,1.0,0.0,0.0,3,-0.17142857142857124,0.475,WATCH,Monitor demand; reduce replenishment if decline persists
MD045,Vantix Air,Upper-mid,52500.0,-30,MD046,True,1.1666666666666667,1.1666666666666667,0.0,2.0,5,0.08571428571428588,0.4708333333333333,WATCH,Monitor demand; reduce replenishment if decline persists
MD041,Halex Ray,Upper-mid,69300.0,-4,,False,2.8333333333333335,4.5,-37.03703703703704,2.0,6,-0.14285714285714282,0.4384259259259259,ACTIVE,Continue normal replenishment
MD002,Vantix Halo,Keypad,7900.0,6,MD003,True,24.666666666666668,32.0,-22.916666666666664,15.0,6,-0.9142857142857103,0.41041666666666665,ACTIVE,Continue normal replenishment
MD013,Halex Max 3,Entry,14500.0,84,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD028,Halex Ace 3,Mid-range,36500.0,72,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD004,Vantix Halo 3,Keypad,8800.0,104,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD053,Kryon Orbit 3,Premium,82100.0,91,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD022,Zentro Wave 3,Budget,21400.0,85,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD036,Corvo Drift 3,Mid-range,36400.0,66,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD047,Vantix Air 3,Upper-mid,62300.0,63,,False,0.0,0.0,0.0,0.0,0,0.0,0.4,ACTIVE,Continue normal replenishment
MD056,Ferno Halo,Flagship,102800.0,-52,,False,0.16666666666666666,0.0,0.0,0.0,1,-0.08571428571428501,0.3958333333333333,ACTIVE,Continue normal replenishment
MD001,Nubira Crest,Keypad,7600.0,1,,False,7.833333333333333,13.166666666666666,-40.50632911392405,4.0,6,-0.7142857142857109,0.337710970464135,ACTIVE,Continue normal replenishment
MD007,Zentro Arc 2,Entry,14300.0,52,,False,3.6666666666666665,0.0,0.0,22.0,1,3.1428571428571304,0.30833333333333335,ACTIVE,Continue normal replenishment
MD017,Vantix Flux,Budget,19500.0,-4,,False,13.0,22.0,-40.90909090909091,9.0,6,-2.1714285714285646,0.2863636363636363,ACTIVE,Continue normal replenishment
