forecast_week,forecast_date,store_id,model_id,baseline_4wk_units,weighted_ma_units,trend_ratio,enhanced_forecast_units,product_launched,is_festive_forecast_week
53,2025-09-01,ST001,MD002,0.75,1.0,1.25,1.25,True,0
53,2025-09-01,ST001,MD003,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST001,MD001,0.75,0.7,1.1,0.77,True,0
53,2025-09-01,ST001,MD004,0.0,0.0,1.0,0.0,False,0
53,2025-09-01,ST001,MD005,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST001,MD006,0.25,0.4,0.75,0.3,True,0
53,2025-09-01,ST001,MD007,0.25,0.4,1.1,0.44,True,0
53,2025-09-01,ST001,MD008,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST001,MD009,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST001,MD010,14.75,14.9,1.18,17.582,True,0
53,2025-09-01,ST002,MD002,1.25,1.0,1.25,1.25,True,0
53,2025-09-01,ST002,MD003,0.75,0.9,1.1,0.99,True,0
53,2025-09-01,ST002,MD001,0.25,0.2,0.75,0.15,True,0
53,2025-09-01,ST002,MD004,0.0,0.0,1.0,0.0,False,0
53,2025-09-01,ST002,MD005,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST002,MD006,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST002,MD007,0.25,0.4,1.1,0.44,True,0
53,2025-09-01,ST002,MD008,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST002,MD009,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST002,MD010,8.75,9.1,1.0294,9.3676,True,0
53,2025-09-01,ST003,MD002,0.25,0.2,1.0,0.2,True,0
53,2025-09-01,ST003,MD003,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST003,MD001,0.25,0.1,1.0,0.1,True,0
53,2025-09-01,ST003,MD004,0.0,0.0,1.0,0.0,False,0
53,2025-09-01,ST003,MD005,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST003,MD006,0.5,0.5,0.75,0.375,True,0
53,2025-09-01,ST003,MD007,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST003,MD008,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST003,MD009,0.25,0.2,1.0,0.2,True,0
53,2025-09-01,ST003,MD010,6.0,5.5,0.8889,4.8889,True,0
53,2025-09-01,ST004,MD002,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST004,MD003,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST004,MD001,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST004,MD004,0.0,0.0,1.0,0.0,False,0
53,2025-09-01,ST004,MD005,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST004,MD006,0.5,0.5,1.0,0.5,True,0
53,2025-09-01,ST004,MD007,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST004,MD008,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST004,MD009,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST004,MD010,6.5,6.3,0.963,6.0667,True,0
53,2025-09-01,ST005,MD002,0.5,0.4,0.75,0.3,True,0
53,2025-09-01,ST005,MD003,0.75,0.9,1.1,0.99,True,0
53,2025-09-01,ST005,MD001,0.25,0.1,1.0,0.1,True,0
53,2025-09-01,ST005,MD004,0.0,0.0,1.0,0.0,False,0
53,2025-09-01,ST005,MD005,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST005,MD006,0.5,0.4,0.75,0.3,True,0
53,2025-09-01,ST005,MD007,0.5,0.8,1.1,0.88,True,0
53,2025-09-01,ST005,MD008,0.0,0.0,1.0,0.0,True,0
53,2025-09-01,ST005,MD009,0.0,0.0,0.75,0.0,True,0
53,2025-09-01,ST005,MD010,4.5,4.8,1.0,4.8,True,0
