store_id,allocated_units,allocated_value,forecast_units,utilization_of_forecast_pct
ST001,36,1172100.0,47.0,76.59574468085107
ST002,29,755800.0,38.75,74.83870967741936
ST003,42,1289000.0,53.25,78.87323943661971
ST004,16,435900.0,25.0,64.0
ST005,35,1160900.0,45.0,77.77777777777779
ST006,52,1346600.0,63.0,82.53968253968253
ST007,30,703400.0,40.5,74.07407407407408
ST008,29,1405900.0,39.5,73.41772151898735
ST009,22,492500.0,32.0,68.75
ST010,28,453400.0,41.0,68.29268292682927
ST011,28,468600.0,36.25,77.24137931034483
ST012,14,222800.0,20.5,68.29268292682927
ST013,33,633300.0,40.25,81.98757763975155
ST014,23,487700.0,30.75,74.79674796747967
ST015,23,483000.0,31.5,73.01587301587301
ST016,16,277200.0,24.0,66.66666666666666
ST017,31,596200.0,41.75,74.25149700598801
ST018,36,839800.0,47.5,75.78947368421053
ST019,15,339100.0,26.0,57.692307692307686
ST020,17,247400.0,25.0,68.0
ST021,22,385900.0,30.5,72.1311475409836
ST022,33,581200.0,40.75,80.98159509202453
ST023,40,506700.0,46.5,86.02150537634408
ST024,44,691400.0,53.75,81.86046511627907
ST025,51,747300.0,58.5,87.17948717948718
