forecast_week,store_id,model_id,category,store_segment,tier,price,forecast_units,available_units,demand_cap,priority_score,priority_per_rupee,allocated_units,allocated_value,unmet_forecast_units
53,ST001,MD052,Premium,Premium,Tier 1,96000.0,5.25,14,5,5.788125000000001,6.029296875000001e-05,5,480000.0,0.25
53,ST001,MD038,Mid-range,Premium,Tier 1,39900.0,5.0,37,5,5.5125,0.0001381578947368421,5,199500.0,0.0
53,ST001,MD010,Entry,Premium,Tier 1,9800.0,14.75,121,14,16.261875,0.001659375,14,137200.0,0.75
53,ST001,MD027,Mid-range,Premium,Tier 1,46300.0,2.0,27,2,2.205,4.762419006479482e-05,2,92600.0,0.0
53,ST001,MD055,Premium,Premium,Tier 1,75000.0,1.0,5,1,0.9975000000000002,1.3300000000000001e-05,1,75000.0,0.0
53,ST001,MD039,Upper-mid,Premium,Tier 1,51000.0,1.0,12,1,0.9975000000000002,1.9558823529411766e-05,1,51000.0,0.0
53,ST001,MD035,Mid-range,Premium,Tier 1,32400.0,1.5,19,1,1.49625,4.618055555555556e-05,1,32400.0,0.5
53,ST001,MD020,Budget,Premium,Tier 1,19500.0,1.0,5,1,0.9975000000000002,5.1153846153846164e-05,1,19500.0,0.0
53,ST001,MD001,Keypad,Premium,Tier 1,7600.0,0.75,6,0,0.748125,9.84375e-05,0,0.0,0.75
53,ST001,MD002,Keypad,Premium,Tier 1,7900.0,0.75,17,0,0.748125,9.46993670886076e-05,0,0.0,0.75
53,ST001,MD003,Keypad,Premium,Tier 1,6300.0,0.0,14,0,0.0,0.0,0,0.0,0.0
53,ST001,MD004,Keypad,Premium,Tier 1,8800.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD005,Entry,Premium,Tier 1,11600.0,0.0,2,0,0.0,0.0,0,0.0,0.0
53,ST001,MD006,Entry,Premium,Tier 1,13100.0,0.25,16,0,0.24937500000000004,1.9036259541984735e-05,0,0.0,0.25
53,ST001,MD007,Entry,Premium,Tier 1,14300.0,0.25,4,0,0.275625,1.9274475524475525e-05,0,0.0,0.25
53,ST001,MD008,Entry,Premium,Tier 1,8500.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD009,Entry,Premium,Tier 1,11500.0,0.0,3,0,0.0,0.0,0,0.0,0.0
53,ST001,MD011,Entry,Premium,Tier 1,12100.0,0.25,2,0,0.24937500000000004,2.060950413223141e-05,0,0.0,0.25
53,ST001,MD012,Entry,Premium,Tier 1,9100.0,4.0,132,4,4.41,0.0004846153846153846,0,0.0,4.0
53,ST001,MD013,Entry,Premium,Tier 1,14500.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD014,Budget,Premium,Tier 1,20600.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD015,Budget,Premium,Tier 1,16700.0,0.0,5,0,0.0,0.0,0,0.0,0.0
53,ST001,MD016,Budget,Premium,Tier 1,23300.0,1.25,69,1,1.378125,5.914699570815451e-05,0,0.0,1.25
53,ST001,MD017,Budget,Premium,Tier 1,19500.0,0.25,8,0,0.24937500000000004,1.2788461538461541e-05,0,0.0,0.25
53,ST001,MD018,Budget,Premium,Tier 1,15900.0,0.0,3,0,0.0,0.0,0,0.0,0.0
53,ST001,MD019,Budget,Premium,Tier 1,25600.0,0.75,23,0,0.7798170731707319,3.0461604420731715e-05,0,0.0,0.75
53,ST001,MD021,Budget,Premium,Tier 1,25200.0,1.75,62,1,1.9293750000000003,7.656250000000001e-05,0,0.0,1.75
53,ST001,MD022,Budget,Premium,Tier 1,21400.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD023,Budget,Premium,Tier 1,21300.0,0.25,1,0,0.275625,1.2940140845070422e-05,0,0.0,0.25
53,ST001,MD024,Budget,Premium,Tier 1,16600.0,0.0,19,0,0.0,0.0,0,0.0,0.0
53,ST001,MD025,Budget,Premium,Tier 1,16000.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD026,Mid-range,Premium,Tier 1,31900.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD028,Mid-range,Premium,Tier 1,36500.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD029,Mid-range,Premium,Tier 1,31600.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD030,Mid-range,Premium,Tier 1,27200.0,0.25,9,0,0.24937500000000004,9.168198529411766e-06,0,0.0,0.25
53,ST001,MD031,Mid-range,Premium,Tier 1,38400.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD032,Mid-range,Premium,Tier 1,42200.0,0.25,7,0,0.24937500000000004,5.909360189573461e-06,0,0.0,0.25
53,ST001,MD033,Mid-range,Premium,Tier 1,36100.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD034,Mid-range,Premium,Tier 1,44100.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD036,Mid-range,Premium,Tier 1,36400.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD037,Mid-range,Premium,Tier 1,35400.0,0.75,6,0,0.748125,2.1133474576271187e-05,0,0.0,0.75
53,ST001,MD040,Upper-mid,Premium,Tier 1,60000.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD041,Upper-mid,Premium,Tier 1,69300.0,0.0,2,0,0.0,0.0,0,0.0,0.0
53,ST001,MD042,Upper-mid,Premium,Tier 1,48300.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD043,Upper-mid,Premium,Tier 1,59500.0,0.25,6,0,0.24937500000000004,4.191176470588236e-06,0,0.0,0.25
53,ST001,MD044,Upper-mid,Premium,Tier 1,66900.0,0.75,10,0,0.8268750000000001,1.235986547085202e-05,0,0.0,0.75
53,ST001,MD045,Upper-mid,Premium,Tier 1,52500.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD046,Upper-mid,Premium,Tier 1,71500.0,0.25,5,0,0.24937500000000004,3.487762237762238e-06,0,0.0,0.25
53,ST001,MD047,Upper-mid,Premium,Tier 1,62300.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD048,Upper-mid,Premium,Tier 1,59900.0,0.25,4,0,0.24937500000000004,4.163188647746245e-06,0,0.0,0.25
53,ST001,MD049,Premium,Premium,Tier 1,70500.0,0.5,3,0,0.4987500000000001,7.074468085106384e-06,0,0.0,0.5
53,ST001,MD050,Premium,Premium,Tier 1,97100.0,0.5,14,0,0.55125,5.677136972193615e-06,0,0.0,0.5
53,ST001,MD051,Premium,Premium,Tier 1,82400.0,0.25,2,0,0.24937500000000004,3.0263956310679616e-06,0,0.0,0.25
53,ST001,MD053,Premium,Premium,Tier 1,82100.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD054,Premium,Premium,Tier 1,74400.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD056,Flagship,Premium,Tier 1,102800.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD057,Flagship,Premium,Tier 1,119700.0,0.25,2,0,0.24937500000000004,2.083333333333334e-06,0,0.0,0.25
53,ST001,MD058,Flagship,Premium,Tier 1,150000.0,0.75,2,0,0.8268750000000001,5.512500000000001e-06,0,0.0,0.75
53,ST001,MD059,Flagship,Premium,Tier 1,128600.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST001,MD060,Flagship,Premium,Tier 1,105100.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST002,MD038,Mid-range,Premium,Tier 1,39900.0,4.25,37,4,4.685625000000001,0.00011743421052631581,4,159600.0,0.25
53,ST002,MD050,Premium,Premium,Tier 1,97100.0,1.25,14,1,1.378125,1.4192842430484037e-05,1,97100.0,0.25
53,ST002,MD052,Premium,Premium,Tier 1,96000.0,1.25,14,1,1.378125,1.4355468750000001e-05,1,96000.0,0.25
53,ST002,MD010,Entry,Premium,Tier 1,9800.0,8.75,121,8,9.646875,0.000984375,8,78400.0,0.75
53,ST002,MD021,Budget,Premium,Tier 1,25200.0,3.25,62,3,3.5831250000000003,0.0001421875,3,75600.0,0.25
53,ST002,MD043,Upper-mid,Premium,Tier 1,59500.0,1.25,6,1,1.246875,2.0955882352941175e-05,1,59500.0,0.25
53,ST002,MD039,Upper-mid,Premium,Tier 1,51000.0,1.25,12,1,1.349342105263158,2.6457688338493295e-05,1,51000.0,0.25
53,ST002,MD030,Mid-range,Premium,Tier 1,27200.0,1.5,9,1,1.4985436893203885,5.5093517989720164e-05,1,27200.0,0.5
53,ST002,MD019,Budget,Premium,Tier 1,25600.0,1.0,23,1,1.010625,3.94775390625e-05,1,25600.0,0.0
53,ST002,MD002,Keypad,Premium,Tier 1,7900.0,1.25,17,1,1.246875,0.00015783227848101264,1,7900.0,0.25
53,ST002,MD001,Keypad,Premium,Tier 1,7600.0,0.25,6,0,0.24937500000000004,3.2812500000000005e-05,0,0.0,0.25
53,ST002,MD003,Keypad,Premium,Tier 1,6300.0,0.75,14,0,0.8268750000000001,0.00013125000000000002,0,0.0,0.75
53,ST002,MD004,Keypad,Premium,Tier 1,8800.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST002,MD005,Entry,Premium,Tier 1,11600.0,0.0,2,0,0.0,0.0,0,0.0,0.0
53,ST002,MD006,Entry,Premium,Tier 1,13100.0,0.0,16,0,0.0,0.0,0,0.0,0.0
53,ST002,MD007,Entry,Premium,Tier 1,14300.0,0.25,4,0,0.275625,1.9274475524475525e-05,0,0.0,0.25
53,ST002,MD008,Entry,Premium,Tier 1,8500.0,0.0,1,0,0.0,0.0,0,0.0,0.0
53,ST002,MD009,Entry,Premium,Tier 1,11500.0,0.0,3,0,0.0,0.0,0,0.0,0.0
