model_id,available_units,allocated_units,chain_forecast,supply_utilization_pct
MD001,6,3,8.0,50.0
MD002,17,16,24.0,94.11764705882352
MD003,14,10,18.75,71.42857142857143
MD004,1,0,0.0,0.0
MD005,2,0,1.5,0.0
MD006,16,11,22.25,68.75
MD007,4,0,5.5,0.0
MD008,1,0,0.25,0.0
MD009,3,0,4.25,0.0
MD010,121,121,172.5,100.0
MD011,2,0,2.5,0.0
MD012,132,132,188.0,100.0
MD013,1,0,0.0,0.0
MD014,1,0,0.75,0.0
MD015,5,2,6.75,40.0
MD016,69,69,97.5,100.0
MD017,8,6,11.0,75.0
MD018,3,0,3.5,0.0
MD019,23,22,32.0,95.65217391304348
MD020,5,2,6.5,40.0
MD021,62,62,87.25,100.0
MD022,1,0,0.0,0.0
MD023,1,0,1.0,0.0
MD024,19,17,25.75,89.47368421052632
MD025,1,0,0.25,0.0
MD026,1,0,1.25,0.0
MD027,27,27,38.0,100.0
MD028,1,0,0.0,0.0
MD029,1,0,0.0,0.0
MD030,9,3,12.5,33.33333333333333
MD031,1,0,0.25,0.0
MD032,7,2,10.0,28.57142857142857
MD033,1,0,0.5,0.0
MD034,1,0,0.75,0.0
MD035,19,17,26.0,89.47368421052632
MD036,1,0,0.0,0.0
MD037,6,2,8.25,33.33333333333333
MD038,37,37,51.75,100.0
MD039,12,7,16.5,58.333333333333336
MD040,1,0,0.0,0.0
MD041,2,0,2.5,0.0
MD042,1,0,0.5,0.0
MD043,6,2,7.5,33.33333333333333
MD044,10,7,13.5,70.0
MD045,1,0,1.25,0.0
MD046,5,2,6.25,40.0
MD047,1,0,0.0,0.0
MD048,4,0,4.75,0.0
MD049,3,0,3.0,0.0
MD050,14,14,19.5,100.0
MD051,2,0,2.0,0.0
MD052,14,14,19.25,100.0
MD053,1,0,0.0,0.0
MD054,1,0,0.25,0.0
MD055,5,2,7.0,40.0
MD056,1,0,0.0,0.0
MD057,2,1,2.75,50.0
MD058,2,0,2.25,0.0
MD059,1,0,0.0,0.0
MD060,1,0,0.75,0.0
