store_id,allocated_units,allocated_value,forecast_units,unmet_forecast_units,forecast_fill_rate_pct
ST001,30,1087200.0,47.0,17.0,63.829787234042556
ST002,22,677900.0,38.75,16.75,56.774193548387096
ST003,40,1238600.0,53.25,13.25,75.11737089201877
ST004,14,403500.0,25.0,11.0,56.00000000000001
ST005,23,988300.0,45.0,22.0,51.11111111111111
ST006,52,1346600.0,63.0,11.0,82.53968253968253
ST007,27,660500.0,40.5,13.5,66.66666666666666
ST008,17,1202500.0,39.5,22.5,43.037974683544306
ST009,18,422500.0,32.0,14.0,56.25
ST010,27,428200.0,41.0,14.0,65.85365853658537
ST011,23,423100.0,36.25,13.25,63.44827586206897
ST012,5,123900.0,20.5,15.5,24.390243902439025
ST013,27,578700.0,40.25,13.25,67.08074534161491
ST014,15,367100.0,30.75,15.75,48.78048780487805
ST015,16,385000.0,31.5,15.5,50.79365079365079
ST016,10,162000.0,24.0,14.0,41.66666666666667
ST017,29,459200.0,41.75,12.75,69.46107784431138
ST018,32,772600.0,47.5,15.5,67.36842105263158
ST019,9,250200.0,26.0,17.0,34.61538461538461
ST020,5,89000.0,25.0,20.0,20.0
ST021,13,190600.0,30.5,17.5,42.62295081967213
ST022,28,465600.0,40.75,12.75,68.71165644171779
ST023,33,361100.0,46.5,13.5,70.96774193548387
ST024,44,691400.0,53.75,9.75,81.86046511627907
ST025,51,747300.0,58.5,7.5,87.17948717948718
