store_id,forecast_units,naive_units,optimizer_units,naive_value,optimizer_value,naive_fill_pct,optimizer_fill_pct
ST001,47.0,29,30,987900.0,1087200.0,61.702127659574465,63.829787234042556
ST002,38.75,23,22,652900.0,677900.0,59.354838709677416,56.774193548387096
ST003,53.25,33,40,1090900.0,1238600.0,61.97183098591549,75.11737089201877
ST004,25.0,14,14,386200.0,403500.0,56.00000000000001,56.00000000000001
ST005,45.0,30,23,1044100.0,988300.0,66.66666666666666,51.11111111111111
ST006,63.0,41,52,1152300.0,1346600.0,65.07936507936508,82.53968253968253
ST007,40.5,24,27,617300.0,660500.0,59.25925925925925,66.66666666666666
ST008,39.5,25,17,1227500.0,1202500.0,63.29113924050633,43.037974683544306
ST009,32.0,19,18,465200.0,422500.0,59.375,56.25
ST010,41.0,22,27,369000.0,428200.0,53.65853658536586,65.85365853658537
ST011,36.25,24,23,416600.0,423100.0,66.20689655172414,63.44827586206897
ST012,20.5,12,5,203900.0,123900.0,58.536585365853654,24.390243902439025
ST013,40.25,27,27,548900.0,578700.0,67.08074534161491,67.08074534161491
ST014,30.75,20,15,406400.0,367100.0,65.04065040650406,48.78048780487805
ST015,31.5,20,16,424700.0,385000.0,63.49206349206349,50.79365079365079
ST016,24.0,14,10,257600.0,162000.0,58.333333333333336,41.66666666666667
ST017,41.75,25,29,510600.0,459200.0,59.88023952095808,69.46107784431138
ST018,47.5,29,32,727600.0,772600.0,61.05263157894737,67.36842105263158
ST019,26.0,13,9,290600.0,250200.0,50.0,34.61538461538461
ST020,25.0,13,5,180000.0,89000.0,52.0,20.0
ST021,30.5,18,13,334600.0,190600.0,59.01639344262295,42.62295081967213
ST022,40.75,27,28,479500.0,465600.0,66.25766871165644,68.71165644171779
ST023,46.5,30,33,385400.0,361100.0,64.51612903225806,70.96774193548387
ST024,53.75,35,44,579000.0,691400.0,65.11627906976744,81.86046511627907
ST025,58.5,39,51,604300.0,747300.0,66.66666666666666,87.17948717948718
