week_start,week_number,store_id,model_id,units_sold,sales_value,is_festive_week
2024-09-02,1,ST001,MD001,0,0.0,0
2024-09-09,2,ST001,MD001,1,7600.0,0
2024-09-16,3,ST001,MD001,0,0.0,0
2024-09-23,4,ST001,MD001,0,0.0,0
2024-09-30,5,ST001,MD001,0,0.0,0
2024-10-07,6,ST001,MD001,2,15200.0,1
2024-10-14,7,ST001,MD001,0,0.0,0
2024-10-21,8,ST001,MD001,3,22800.0,0
2024-10-28,9,ST001,MD001,9,68400.0,1
2024-11-04,10,ST001,MD001,5,38000.0,0
2024-11-11,11,ST001,MD001,3,22800.0,0
2024-11-18,12,ST001,MD001,4,30400.0,0
2024-11-25,13,ST001,MD001,4,30400.0,0
2024-12-02,14,ST001,MD001,4,30400.0,0
2024-12-09,15,ST001,MD001,1,7600.0,0
2024-12-16,16,ST001,MD001,3,22800.0,0
2024-12-23,17,ST001,MD001,0,0.0,0
2024-12-30,18,ST001,MD001,3,22800.0,0
2025-01-06,19,ST001,MD001,2,15200.0,0
2025-01-13,20,ST001,MD001,1,7600.0,0
2025-01-20,21,ST001,MD001,1,7600.0,0
2025-01-27,22,ST001,MD001,3,22800.0,0
2025-02-03,23,ST001,MD001,2,15200.0,0
2025-02-10,24,ST001,MD001,1,7600.0,0
2025-02-17,25,ST001,MD001,1,7600.0,0
2025-02-24,26,ST001,MD001,1,7600.0,0
2025-03-03,27,ST001,MD001,1,7600.0,0
2025-03-10,28,ST001,MD001,1,7600.0,0
2025-03-17,29,ST001,MD001,0,0.0,0
2025-03-24,30,ST001,MD001,1,7600.0,0
2025-03-31,31,ST001,MD001,1,7600.0,0
2025-04-07,32,ST001,MD001,1,7600.0,0
2025-04-14,33,ST001,MD001,0,0.0,0
2025-04-21,34,ST001,MD001,0,0.0,0
2025-04-28,35,ST001,MD001,1,7600.0,0
2025-05-05,36,ST001,MD001,0,0.0,0
2025-05-12,37,ST001,MD001,0,0.0,0
2025-05-19,38,ST001,MD001,1,7600.0,0
2025-05-26,39,ST001,MD001,0,0.0,0
2025-06-02,40,ST001,MD001,0,0.0,0
2025-06-09,41,ST001,MD001,0,0.0,0
2025-06-16,42,ST001,MD001,0,0.0,0
2025-06-23,43,ST001,MD001,0,0.0,0
2025-06-30,44,ST001,MD001,0,0.0,0
2025-07-07,45,ST001,MD001,0,0.0,0
2025-07-14,46,ST001,MD001,0,0.0,0
2025-07-21,47,ST001,MD001,0,0.0,0
2025-07-28,48,ST001,MD001,0,0.0,0
2025-08-04,49,ST001,MD001,1,7600.0,0
2025-08-11,50,ST001,MD001,1,7600.0,0
2025-08-18,51,ST001,MD001,0,0.0,0
2025-08-25,52,ST001,MD001,1,7600.0,0
2024-09-02,1,ST001,MD002,0,0.0,0
2024-09-09,2,ST001,MD002,0,0.0,0
2024-09-16,3,ST001,MD002,0,0.0,0
2024-09-23,4,ST001,MD002,0,0.0,0
2024-09-30,5,ST001,MD002,0,0.0,0
2024-10-07,6,ST001,MD002,1,7900.0,1
2024-10-14,7,ST001,MD002,0,0.0,0
2024-10-21,8,ST001,MD002,1,7900.0,0
2024-10-28,9,ST001,MD002,3,23700.0,1
2024-11-04,10,ST001,MD002,2,15800.0,0
2024-11-11,11,ST001,MD002,3,23700.0,0
2024-11-18,12,ST001,MD002,0,0.0,0
2024-11-25,13,ST001,MD002,4,31600.0,0
2024-12-02,14,ST001,MD002,2,15800.0,0
2024-12-09,15,ST001,MD002,2,15800.0,0
2024-12-16,16,ST001,MD002,5,39500.0,0
2024-12-23,17,ST001,MD002,1,7900.0,0
2024-12-30,18,ST001,MD002,3,23700.0,0
2025-01-06,19,ST001,MD002,1,7900.0,0
2025-01-13,20,ST001,MD002,3,23700.0,0
2025-01-20,21,ST001,MD002,0,0.0,0
2025-01-27,22,ST001,MD002,0,0.0,0
2025-02-03,23,ST001,MD002,4,31600.0,0
2025-02-10,24,ST001,MD002,2,15800.0,0
2025-02-17,25,ST001,MD002,3,23700.0,0
2025-02-24,26,ST001,MD002,3,23700.0,0
2025-03-03,27,ST001,MD002,1,7900.0,0
2025-03-10,28,ST001,MD002,1,7900.0,0
2025-03-17,29,ST001,MD002,2,15800.0,0
2025-03-24,30,ST001,MD002,0,0.0,0
2025-03-31,31,ST001,MD002,3,23700.0,0
2025-04-07,32,ST001,MD002,1,7900.0,0
2025-04-14,33,ST001,MD002,4,31600.0,0
2025-04-21,34,ST001,MD002,6,47400.0,0
2025-04-28,35,ST001,MD002,4,31600.0,0
2025-05-05,36,ST001,MD002,2,15800.0,0
2025-05-12,37,ST001,MD002,1,7900.0,0
2025-05-19,38,ST001,MD002,0,0.0,0
2025-05-26,39,ST001,MD002,1,7900.0,0
2025-06-02,40,ST001,MD002,2,15800.0,0
2025-06-09,41,ST001,MD002,0,0.0,0
2025-06-16,42,ST001,MD002,0,0.0,0
2025-06-23,43,ST001,MD002,0,0.0,0
2025-06-30,44,ST001,MD002,1,7900.0,0
2025-07-07,45,ST001,MD002,1,7900.0,0
2025-07-14,46,ST001,MD002,0,0.0,0
2025-07-21,47,ST001,MD002,0,0.0,0
2025-07-28,48,ST001,MD002,0,0.0,0
2025-08-04,49,ST001,MD002,0,0.0,0
2025-08-11,50,ST001,MD002,0,0.0,0
2025-08-18,51,ST001,MD002,2,15800.0,0
2025-08-25,52,ST001,MD002,1,7900.0,0
2024-09-02,1,ST001,MD003,0,0.0,0
2024-09-09,2,ST001,MD003,0,0.0,0
2024-09-16,3,ST001,MD003,0,0.0,0
2024-09-23,4,ST001,MD003,0,0.0,0
2024-09-30,5,ST001,MD003,0,0.0,0
2024-10-07,6,ST001,MD003,0,0.0,1
2024-10-14,7,ST001,MD003,0,0.0,0
2024-10-21,8,ST001,MD003,0,0.0,0
2024-10-28,9,ST001,MD003,0,0.0,1
2024-11-04,10,ST001,MD003,0,0.0,0
2024-11-11,11,ST001,MD003,0,0.0,0
2024-11-18,12,ST001,MD003,0,0.0,0
2024-11-25,13,ST001,MD003,0,0.0,0
2024-12-02,14,ST001,MD003,0,0.0,0
2024-12-09,15,ST001,MD003,0,0.0,0
2024-12-16,16,ST001,MD003,0,0.0,0
2024-12-23,17,ST001,MD003,0,0.0,0
2024-12-30,18,ST001,MD003,0,0.0,0
2025-01-06,19,ST001,MD003,0,0.0,0
2025-01-13,20,ST001,MD003,0,0.0,0
2025-01-20,21,ST001,MD003,0,0.0,0
2025-01-27,22,ST001,MD003,0,0.0,0
2025-02-03,23,ST001,MD003,0,0.0,0
2025-02-10,24,ST001,MD003,0,0.0,0
2025-02-17,25,ST001,MD003,0,0.0,0
2025-02-24,26,ST001,MD003,0,0.0,0
2025-03-03,27,ST001,MD003,0,0.0,0
2025-03-10,28,ST001,MD003,0,0.0,0
2025-03-17,29,ST001,MD003,0,0.0,0
2025-03-24,30,ST001,MD003,0,0.0,0
2025-03-31,31,ST001,MD003,0,0.0,0
2025-04-07,32,ST001,MD003,0,0.0,0
2025-04-14,33,ST001,MD003,0,0.0,0
2025-04-21,34,ST001,MD003,0,0.0,0
2025-04-28,35,ST001,MD003,0,0.0,0
2025-05-05,36,ST001,MD003,0,0.0,0
2025-05-12,37,ST001,MD003,0,0.0,0
2025-05-19,38,ST001,MD003,0,0.0,0
2025-05-26,39,ST001,MD003,0,0.0,0
2025-06-02,40,ST001,MD003,0,0.0,0
2025-06-09,41,ST001,MD003,0,0.0,0
2025-06-16,42,ST001,MD003,0,0.0,0
2025-06-23,43,ST001,MD003,0,0.0,0
2025-06-30,44,ST001,MD003,0,0.0,0
2025-07-07,45,ST001,MD003,0,0.0,0
2025-07-14,46,ST001,MD003,0,0.0,0
2025-07-21,47,ST001,MD003,0,0.0,0
2025-07-28,48,ST001,MD003,0,0.0,0
2025-08-04,49,ST001,MD003,0,0.0,0
2025-08-11,50,ST001,MD003,0,0.0,0
2025-08-18,51,ST001,MD003,0,0.0,0
2025-08-25,52,ST001,MD003,0,0.0,0
2024-09-02,1,ST001,MD004,0,0.0,0
2024-09-09,2,ST001,MD004,0,0.0,0
2024-09-16,3,ST001,MD004,0,0.0,0
2024-09-23,4,ST001,MD004,0,0.0,0
2024-09-30,5,ST001,MD004,0,0.0,0
2024-10-07,6,ST001,MD004,0,0.0,1
2024-10-14,7,ST001,MD004,0,0.0,0
2024-10-21,8,ST001,MD004,0,0.0,0
2024-10-28,9,ST001,MD004,0,0.0,1
2024-11-04,10,ST001,MD004,0,0.0,0
2024-11-11,11,ST001,MD004,0,0.0,0
2024-11-18,12,ST001,MD004,0,0.0,0
2024-11-25,13,ST001,MD004,0,0.0,0
2024-12-02,14,ST001,MD004,0,0.0,0
2024-12-09,15,ST001,MD004,0,0.0,0
2024-12-16,16,ST001,MD004,0,0.0,0
2024-12-23,17,ST001,MD004,0,0.0,0
2024-12-30,18,ST001,MD004,0,0.0,0
2025-01-06,19,ST001,MD004,0,0.0,0
2025-01-13,20,ST001,MD004,0,0.0,0
