scenario,run,demand_units,sold_units,stockout_units,revenue,ending_inventory_units,service_level_pct
festive,1,23183,606,22577,14343000.0,0,2.613984385109779
festive,2,23685,606,23079,14343000.0,0,2.558581380620646
festive,3,23417,606,22811,14343000.0,0,2.5878635179570395
festive,4,23575,606,22969,14343000.0,0,2.570519618239661
festive,5,23443,606,22837,14343000.0,0,2.5849933882182317
festive,6,23355,606,22749,14343000.0,0,2.594733461785485
festive,7,23531,606,22925,14343000.0,0,2.5753261654838298
festive,8,23526,606,22920,14343000.0,0,2.5758735016577403
festive,9,23589,606,22983,14343000.0,0,2.56899402263767
festive,10,23417,606,22811,14343000.0,0,2.5878635179570395
high_demand,1,7526,606,6920,14343000.0,1,8.05208610151475
high_demand,2,7576,606,6970,14343000.0,0,7.998944033790918
high_demand,3,7636,606,7030,14343000.0,1,7.936092194866422
high_demand,4,7674,606,7068,14343000.0,0,7.8967943706020325
high_demand,5,7549,606,6943,14343000.0,2,8.027553318320308
high_demand,6,7612,606,7006,14343000.0,1,7.961114030478192
high_demand,7,7676,606,7070,14343000.0,0,7.894736842105263
high_demand,8,7532,606,6926,14343000.0,2,8.04567180031864
high_demand,9,7665,606,7059,14343000.0,0,7.9060665362035225
high_demand,10,7605,606,6999,14343000.0,0,7.96844181459566
low_demand,1,3709,606,3103,14343000.0,55,16.338635750876247
low_demand,2,3723,606,3117,14343000.0,64,16.277195809830783
low_demand,3,3704,606,3098,14343000.0,50,16.360691144708422
low_demand,4,3707,606,3101,14343000.0,61,16.347450768815754
low_demand,5,3715,606,3109,14343000.0,51,16.312247644683715
low_demand,6,3733,606,3127,14343000.0,57,16.23359228502545
low_demand,7,3672,606,3066,14343000.0,54,16.503267973856207
low_demand,8,3744,606,3138,14343000.0,49,16.185897435897438
low_demand,9,3729,606,3123,14343000.0,52,16.251005631536604
low_demand,10,3708,606,3102,14343000.0,48,16.34304207119741
normal,1,5607,606,5001,14343000.0,1,10.807918673087212
normal,2,5547,606,4941,14343000.0,7,10.924824229313142
normal,3,5661,606,5055,14343000.0,4,10.704822469528352
normal,4,5582,606,4976,14343000.0,7,10.856323898244357
normal,5,5523,606,4917,14343000.0,7,10.972297664312872
normal,6,5553,606,4947,14343000.0,6,10.91301998919503
normal,7,5598,606,4992,14343000.0,7,10.82529474812433
normal,8,5523,606,4917,14343000.0,3,10.972297664312872
normal,9,5563,606,4957,14343000.0,3,10.89340284019414
normal,10,5600,606,4994,14343000.0,3,10.821428571428573
