scenario,run,demand_units,sold_units,stockout_units,revenue,ending_inventory_units,service_level_pct
festive,1,23183,610,22573,14522600.0,0,2.6312384074537376
festive,2,23685,610,23075,14522600.0,0,2.575469706565337
festive,3,23417,610,22807,14522600.0,0,2.604945125336294
festive,4,23575,610,22965,14522600.0,0,2.5874867444326615
festive,5,23443,610,22833,14522600.0,0,2.6020560508467345
festive,6,23355,610,22745,14522600.0,0,2.6118604153286236
festive,7,23531,610,22921,14522600.0,0,2.5923250180612807
festive,8,23526,610,22916,14522600.0,0,2.592875967015217
festive,9,23589,610,22979,14522600.0,0,2.5859510788927045
festive,10,23417,610,22807,14522600.0,0,2.604945125336294
high_demand,1,7526,610,6916,14522600.0,1,8.105235184693065
high_demand,2,7576,610,6966,14522600.0,0,8.051742344244985
high_demand,3,7636,610,7026,14522600.0,4,7.988475641697224
high_demand,4,7674,610,7064,14522600.0,0,7.948918425853531
high_demand,5,7549,610,6939,14522600.0,13,8.080540468936283
high_demand,6,7612,610,7002,14522600.0,6,8.013662637940094
high_demand,7,7676,610,7066,14522600.0,0,7.9468473163105795
high_demand,8,7532,610,6922,14522600.0,8,8.098778544875199
high_demand,9,7665,610,7055,14522600.0,0,7.958251793868232
high_demand,10,7605,610,6995,14522600.0,1,8.021038790269559
low_demand,1,3709,610,3099,14522600.0,134,16.446481531410086
low_demand,2,3723,610,3113,14522600.0,146,16.3846360461993
low_demand,3,3704,610,3094,14522600.0,130,16.468682505399567
low_demand,4,3707,610,3097,14522600.0,138,16.455354734286484
low_demand,5,3715,610,3105,14522600.0,138,16.41991924629879
low_demand,6,3733,610,3123,14522600.0,140,16.340744709349046
low_demand,7,3672,610,3062,14522600.0,140,16.61220043572985
low_demand,8,3744,610,3134,14522600.0,129,16.292735042735043
low_demand,9,3729,610,3119,14522600.0,125,16.358272995441137
low_demand,10,3708,610,3098,14522600.0,117,16.450916936353828
normal,1,5607,610,4997,14522600.0,23,10.879258070269305
normal,2,5547,610,4937,14522600.0,27,10.996935280331712
normal,3,5661,610,5051,14522600.0,24,10.775481363716658
normal,4,5582,610,4972,14522600.0,23,10.92798280186313
normal,5,5523,610,4913,14522600.0,28,11.044722071338041
normal,6,5553,610,4943,14522600.0,28,10.985053124437242
normal,7,5598,610,4988,14522600.0,27,10.896748838871027
normal,8,5523,610,4913,14522600.0,27,11.044722071338041
normal,9,5563,610,4953,14522600.0,31,10.965306489304332
normal,10,5600,610,4990,14522600.0,20,10.892857142857142
