store_id,model_id,units_sold,affinity_score,brand,model_name,category
ST001,MD052,31,5.67159718699878,Kryon,Kryon Orbit 2,Premium
ST001,MD055,201,4.155835343437301,Halex,Halex Crest,Premium
ST001,MD049,206,4.103341895407375,Zentro,Zentro Nova,Premium
ST002,MD040,25,5.420584737556943,Orbil,Orbil Vibe,Upper-mid
ST002,MD043,315,4.307167332004707,Nubira,Nubira Edge,Upper-mid
ST002,MD034,107,4.075693713482004,Corvo,Corvo Drift,Mid-range
ST003,MD031,16,3.336124685972828,Nubira,Nubira Spark,Mid-range
ST003,MD051,123,3.0889553847537634,Kryon,Kryon Orbit,Premium
ST003,MD059,17,3.061273504458021,Vantix,Vantix Arc,Flagship
ST004,MD029,22,4.124644587046673,Ferno,Ferno Prime,Mid-range
ST004,MD045,36,3.8732457950675885,Vantix,Vantix Air,Upper-mid
ST004,MD038,24,2.9703322872849482,Zentro,Zentro Volt 2,Mid-range
ST005,MD051,124,4.192245491871385,Kryon,Kryon Orbit,Premium
ST005,MD057,133,3.897396960456424,Nubira,Nubira Pulse,Flagship
ST005,MD042,16,3.6702142287490034,Ferno,Ferno Zephyr,Upper-mid
ST006,MD059,15,2.9830663042700807,Vantix,Vantix Arc,Flagship
ST006,MD055,166,2.758887785550955,Halex,Halex Crest,Premium
ST006,MD039,233,2.510869930326508,Kryon,Kryon Glide,Upper-mid
ST007,MD017,463,2.9499867472069834,Vantix,Vantix Flux,Budget
ST007,MD057,74,2.6631309405160994,Nubira,Nubira Pulse,Flagship
ST007,MD049,101,2.4209922083314925,Zentro,Zentro Nova,Premium
ST008,MD050,32,6.396261738231815,Zentro,Zentro Nova 2,Premium
ST008,MD049,230,4.83706321409628,Zentro,Zentro Nova,Premium
ST008,MD054,86,4.49282873516425,Orbil,Orbil Zen,Premium
ST009,MD006,522,2.8132514065021343,Zentro,Zentro Arc,Entry
ST009,MD009,361,2.440189376166431,Orbil,Orbil Ember,Entry
ST009,MD046,70,2.043962410450021,Vantix,Vantix Air 2,Upper-mid
ST010,MD046,81,2.13373393668588,Vantix,Vantix Air 2,Upper-mid
ST010,MD016,62,1.944029380862969,Nubira,Nubira Fuse 2,Budget
ST010,MD011,239,1.8934982548463362,Halex,Halex Max,Entry
ST011,MD023,58,2.843502799538908,Kryon,Kryon Core,Budget
ST011,MD030,175,2.6204235851249744,Ferno,Ferno Prime 2,Mid-range
ST011,MD024,270,2.6177087003425217,Kryon,Kryon Core 2,Budget
ST012,MD033,15,4.749421120558761,Vantix,Vantix Bolt,Mid-range
ST012,MD011,208,3.0631925366704564,Halex,Halex Max,Entry
ST012,MD027,46,2.389804803308503,Halex,Halex Ace 2,Mid-range
ST013,MD018,108,2.3963498329467345,Corvo,Corvo Pixel,Budget
ST013,MD027,81,2.183813262397135,Halex,Halex Ace 2,Mid-range
ST013,MD014,130,1.849857639285757,Ferno,Ferno Sol,Budget
ST014,MD025,23,3.890321027083888,Orbil,Orbil Neo,Budget
ST014,MD027,66,2.042109128744989,Halex,Halex Ace 2,Mid-range
ST014,MD002,228,2.036227854454203,Vantix,Vantix Halo,Keypad
ST015,MD014,170,2.3258088285645515,Ferno,Ferno Sol,Budget
ST015,MD008,33,2.3032245918271292,Kryon,Kryon Loop,Entry
ST015,MD011,283,2.0794736246326018,Halex,Halex Max,Entry
ST016,MD014,108,2.151526731230819,Ferno,Ferno Sol,Budget
ST016,MD048,71,2.112989688882546,Corvo,Corvo Peak,Upper-mid
ST016,MD049,67,2.0869867617678364,Zentro,Zentro Nova,Premium
ST017,MD029,31,3.6956847976389122,Ferno,Ferno Prime,Mid-range
ST017,MD009,359,2.0912626227443436,Orbil,Orbil Ember,Entry
ST017,MD055,79,1.8066886622161493,Halex,Halex Crest,Premium
ST018,MD024,349,2.5359983230383496,Kryon,Kryon Core 2,Budget
ST018,MD045,43,2.37450513730371,Vantix,Vantix Air,Upper-mid
ST018,MD055,125,2.307432276361298,Halex,Halex Crest,Premium
ST019,MD048,91,2.3291216243168855,Corvo,Corvo Peak,Upper-mid
ST019,MD017,301,2.1433356581748773,Vantix,Vantix Flux,Budget
ST019,MD039,112,2.019336974777201,Kryon,Kryon Glide,Upper-mid
ST020,MD020,271,2.3773992448623296,Zentro,Zentro Wave,Budget
ST020,MD017,279,2.1767516742741693,Vantix,Vantix Flux,Budget
ST020,MD009,262,2.0332398310446202,Orbil,Orbil Ember,Entry
ST021,MD005,39,2.9603125853125856,Corvo,Corvo Pulse,Entry
ST021,MD014,117,2.5723020416554645,Ferno,Ferno Sol,Budget
ST021,MD001,146,1.9241273016264249,Nubira,Nubira Crest,Keypad
ST022,MD001,641,4.347473843611636,Nubira,Nubira Crest,Keypad
ST022,MD002,453,2.8030080556360475,Vantix,Vantix Halo,Keypad
ST022,MD023,55,2.010403274796653,Kryon,Kryon Core,Budget
ST023,MD012,182,5.729542655037928,Halex,Halex Max 2,Entry
ST023,MD001,162,2.2664335014842583,Nubira,Nubira Crest,Keypad
ST023,MD002,143,1.8252031081888822,Vantix,Vantix Halo,Keypad
ST024,MD011,344,2.406288877269531,Halex,Halex Max,Entry
ST024,MD015,330,2.0223559465488004,Nubira,Nubira Fuse,Budget
ST024,MD008,27,1.7939422301434786,Kryon,Kryon Loop,Entry
ST025,MD010,181,2.791134649421501,Orbil,Orbil Ember 2,Entry
ST025,MD012,121,2.5727872432694925,Halex,Halex Max 2,Entry
ST025,MD020,349,2.5709615694358012,Zentro,Zentro Wave,Budget
