store_id,store_name,city,tier,location_type,store_segment,total_units_sold,total_sales_value,average_weekly_units,average_weekly_revenue,average_selling_price,keypad_share,entry_share,budget_share,midrange_share,upper_mid_share,premium_share,flagship_share,premium_index,midrange_index,budget_index,top_5_model_share,festive_lift,mean_weekly_units,median_weekly_units,max_weekly_units,std_weekly_units,demand_volatility
ST001,MobiMart Indiranagar - Premium Mall,Indiranagar,Tier 1,Premium Mall,Premium,3065,123201600.0,58.94230769230769,2369261.5384615385,40196.280587275694,0.04567699836867863,0.18172920065252854,0.22479608482871125,0.1866231647634584,0.13409461663947797,0.18205546492659053,0.04502446982055465,0.22707993474714516,0.3207177814029364,0.4522022838499184,0.32920065252854813,4.035619552860932,58.94230769230769,51.5,277,36.888498373032135,0.6258407554315403
ST002,MobiMart Koramangala - High Street,Koramangala,Tier 1,High Street,Premium,3382,119135400.0,65.03846153846153,2291065.3846153845,35226.31578947369,0.07539917208752217,0.18243642814902425,0.2309284447072738,0.2486694263749261,0.1614429331756357,0.06179775280898876,0.03932584269662921,0.10112359550561797,0.4101123595505618,0.48876404494382025,0.3184506209343584,4.91861288039632,65.03846153846153,59.5,336,48.59555435910861,0.7471817938124329
ST003,MobiMart MG Road - Premium Mall,MG Road,Tier 1,Premium Mall,Premium,4211,151310700.0,80.98076923076923,2909821.153846154,35932.2488720019,0.034196152932795064,0.14913322251246736,0.3450486820232724,0.21111374970315838,0.13369745903585847,0.09356447399667538,0.033246259795772976,0.12681073379244834,0.34481120873901683,0.5283780574685348,0.34362384231773924,3.5298102981029813,80.98076923076923,73.5,306,41.25458519239628,0.509436815484352
ST004,MobiMart Whitefield (ITPL) - Tech Park Hub,Whitefield (ITPL),Tier 1,Tech Park Hub,Premium,1762,63708400.0,33.88461538461539,1225161.5384615385,36156.86719636776,0.056753688989784334,0.2133938706015891,0.20998864926220204,0.2043132803632236,0.18501702610669693,0.11010215664018161,0.02043132803632236,0.13053348467650397,0.3893303064699205,0.4801362088535755,0.2832009080590238,3.603896103896104,33.88461538461539,29.0,129,19.00634965742108,0.5609138377899524
ST005,MobiMart Electronic City - Tech Park Hub,Electronic City,Tier 1,Tech Park Hub,Premium,3128,126334000.0,60.15384615384615,2429500.0,40388.10741687979,0.04475703324808184,0.12755754475703324,0.27621483375959077,0.22985933503836317,0.19053708439897699,0.07768542199488492,0.053388746803069057,0.13107416879795397,0.4203964194373402,0.44852941176470584,0.3171355498721228,3.9201183431952664,60.15384615384615,56.0,264,34.85734773041971,0.5794699750581283
ST006,MobiMart Jayanagar - High Street,Jayanagar,Tier 1,High Street,Premium,3813,118051400.0,73.32692307692308,2270219.230769231,30960.241279832153,0.03829006031995804,0.27301337529504327,0.3165486493574613,0.14739050616312616,0.10988722790453712,0.08969315499606609,0.025177025963808025,0.11487018095987411,0.2572777340676633,0.6278520849724627,0.4101757146603724,3.773015393902807,73.32692307692308,63.0,297,40.77182858338809,0.5560280845361082
ST007,MobiMart Rajajinagar - Metro Market,Rajajinagar,Tier 1,Metro Market,Premium,2547,82148200.0,48.98076923076923,1579773.076923077,32252.92500981547,0.04397330192383196,0.17981939536709854,0.4138201806046329,0.14448370632116214,0.08873184138201806,0.09069493521790342,0.038476639183352965,0.12917157440125637,0.2332155477031802,0.6376128778955634,0.4004711425206125,4.643854748603352,48.98076923076923,45.5,231,34.17457510650874,0.6977141364501195
ST008,MobiMart Yeshwanthpur - Suburban Mall,Yeshwanthpur,Tier 1,Suburban Mall,Premium,2903,114101800.0,55.82692307692308,2194265.3846153845,39304.78815018946,0.021012745435756115,0.15363417154667586,0.20771615570099897,0.30244574578022737,0.13882190837065106,0.15776782638649672,0.018601446779193936,0.17636927316569065,0.44126765415087843,0.3823630726834309,0.339993110575267,3.4943070278759327,55.82692307692308,52.0,223,30.039008073389887,0.5380738614592746
ST009,MobiMart Mysore - Town Center,Mysore,Tier 2,Town Center,Value,2388,57898200.0,45.92307692307692,1113426.923076923,24245.47738693467,0.04731993299832496,0.44472361809045224,0.24581239530988275,0.12311557788944724,0.11180904522613065,0.020100502512562814,0.00711892797319933,0.027219430485762145,0.23492462311557788,0.7378559463986599,0.5020938023450586,4.365469749139203,45.92307692307692,39.5,228,32.36667746239565,0.7048020217942101
ST010,MobiMart Mysore - Local Market,Mysore,Tier 2,Local Market,Value,2647,64849900.0,50.90384615384615,1247113.4615384615,24499.39554212316,0.09142425387230828,0.3048734416320363,0.3505855685681904,0.12844729882886285,0.09709104646769928,0.018889308651303362,0.008689081979599547,0.027578390630902908,0.22553834529656214,0.7468832640725349,0.4404986777483944,4.59525939177102,50.90384615384615,45.0,250,35.049690001921114,0.688546989081941
