model_id,model_name,successor_model_id,successor_launch_week,recent_6w_avg_units,recent_vs_prior_pct,eol_score,transition_status
MD002,Vantix Halo,MD003,50,24.666666666666668,-22.916666666666664,0.41041666666666665,SUCCESSOR_ACTIVE
MD003,Vantix Halo 2,MD004,104,12.5,0.0,0.0,SUCCESSOR_FUTURE
MD006,Zentro Arc,MD007,52,24.833333333333332,-32.27272727272727,0.47590909090909095,SUCCESSOR_ACTIVE
MD009,Orbil Ember,MD010,39,4.666666666666667,-66.26506024096386,0.7333333333333333,SUCCESSOR_ACTIVE
MD011,Halex Max,MD012,42,2.6666666666666665,-68.0,0.7833333333333333,SUCCESSOR_ACTIVE
MD012,Halex Max 2,MD013,84,166.5,272.76119402985074,0.0,SUCCESSOR_FUTURE
MD015,Nubira Fuse,MD016,40,8.166666666666666,-65.97222222222223,0.6458333333333333,SUCCESSOR_ACTIVE
MD018,Corvo Pixel,MD019,14,3.3333333333333335,-55.55555555555556,0.7666666666666666,SUCCESSOR_ACTIVE
MD020,Zentro Wave,MD021,35,6.166666666666667,-27.450980392156854,0.5379901960784312,SUCCESSOR_ACTIVE
MD021,Zentro Wave 2,MD022,85,90.83333333333333,-9.768211920529811,0.06837748344370867,SUCCESSOR_FUTURE
MD023,Kryon Core,MD024,9,1.0,0.0,0.475,SUCCESSOR_ACTIVE
MD026,Halex Ace,MD027,33,1.1666666666666667,-41.666666666666664,0.7625,SUCCESSOR_ACTIVE
MD027,Halex Ace 2,MD028,72,45.0,-29.503916449086166,0.20652741514360315,SUCCESSOR_FUTURE
MD029,Ferno Prime,MD030,13,0.3333333333333333,100.0,0.6416666666666666,SUCCESSOR_ACTIVE
MD031,Nubira Spark,MD032,-10,0.6666666666666666,100.0,0.48333333333333334,SUCCESSOR_ACTIVE
MD034,Corvo Drift,MD035,19,1.1666666666666667,-22.22222222222222,0.6263888888888889,SUCCESSOR_ACTIVE
MD035,Corvo Drift 2,MD036,66,29.0,-27.500000000000004,0.1925,SUCCESSOR_FUTURE
MD037,Zentro Volt,MD038,44,11.666666666666666,-42.14876033057852,0.5450413223140496,SUCCESSOR_ACTIVE
MD043,Nubira Edge,MD044,49,6.333333333333333,-25.49019607843137,0.5200980392156862,SUCCESSOR_ACTIVE
MD045,Vantix Air,MD046,17,1.1666666666666667,0.0,0.4708333333333333,SUCCESSOR_ACTIVE
MD046,Vantix Air 2,MD047,63,9.666666666666666,-34.09090909090909,0.246969696969697,SUCCESSOR_FUTURE
MD049,Zentro Nova,MD050,44,3.1666666666666665,-74.32432432432432,0.7708333333333333,SUCCESSOR_ACTIVE
MD051,Kryon Orbit,MD052,44,1.6666666666666667,-44.44444444444444,0.7694444444444444,SUCCESSOR_ACTIVE
MD052,Kryon Orbit 2,MD053,91,16.5,395.0,0.0,SUCCESSOR_FUTURE
MD057,Nubira Pulse,MD058,51,2.6666666666666665,-33.333333333333336,0.6666666666666667,SUCCESSOR_ACTIVE
